Indicator,AHP_Weight,Entropy_Weight,Combined_Weight
RX1day,0.20000000000000004,0.09231575845173877,0.1461578792258694
RX5day,0.19999999999999998,0.10015578534023067,0.15007789267011534
R20mm,0.09999999999999999,0.1732904374561606,0.1366452187280803
R95p,0.09999999999999999,0.10085918673462377,0.10042959336731189
E_C0_freq,0.08000000000000002,0.04693868117183307,0.06346934058591655
E_C1_freq,0.08000000000000002,0.3743272314711175,0.22716361573555877
E_C2_freq,0.08000000000000002,0.07493151672571291,0.07746575836285646
E_transition,0.16000000000000003,0.03718140264858269,0.09859070132429136
