lat_idx,lon_idx,lat,lon,EPHI_p1,EPHI_p2,EPHI_change,EPHI_change_pct
6,212,53.5,123.0,0.1960086863294394,0.18368558156421494,-0.012323104765224469,-6.287019721418136
6,213,53.5,123.25,0.2144866748675277,0.2010843528501184,-0.013402322017409318,-6.24855694447542
6,214,53.5,123.5,0.1744930032110353,0.16557926682137822,-0.00891373638965709,-5.108363215501907
6,215,53.5,123.75,0.1697129185941439,0.16802333131914832,-0.0016895872749955743,-0.9955560772813645
7,204,53.25,121.0,0.17935300846565064,0.17779832612125973,-0.0015546823443909064,-0.8668281383686164
7,205,53.25,121.25,0.1789731968228198,0.17706912335676683,-0.0019040734660529801,-1.0638874981587203
7,206,53.25,121.5,0.18046499853761683,0.1779819872116578,-0.002483011325959017,-1.3758963489207845
7,207,53.25,121.75,0.19222248641052453,0.18774308520249003,-0.0044794012080345,-2.3303211251091405
7,208,53.25,122.0,0.22029420036172864,0.21469992770982932,-0.0055942726518993235,-2.539455256976074
7,209,53.25,122.25,0.223721691613658,0.2149761003508186,-0.008745591262839414,-3.909138715946265
7,210,53.25,122.5,0.20590154767120633,0.19726307076741964,-0.00863847690378669,-4.195440491579516
7,211,53.25,122.75,0.20496457961634024,0.1958670537648611,-0.009097525851479132,-4.438584397610648
7,212,53.25,123.0,0.20166163453196312,0.193117971790221,-0.00854366274174212,-4.236632694945235
7,213,53.25,123.25,0.21360647440019137,0.20575817958318737,-0.007848294817003998,-3.6741839586286282
7,214,53.25,123.5,0.19389144020492804,0.18908433228058946,-0.004807107924338583,-2.479278053356995
7,215,53.25,123.75,0.18957573671697509,0.19166780564759772,0.002092068930622637,1.103553105926191
7,216,53.25,124.0,0.18607158684729036,0.1913659437614247,0.005294356914134352,2.8453333492982193
7,217,53.25,124.25,0.19426298798553682,0.2022629011306401,0.007999913145103288,4.118084061230899
8,202,53.0,120.5,0.18710554540928778,0.18872227806922895,0.0016167326599411669,0.864075223641615
8,203,53.0,120.75,0.18448607967344105,0.18694648524008292,0.002460405566641871,1.3336537753943478
8,204,53.0,121.0,0.19832562122554218,0.20056725066778697,0.0022416294422447913,1.1302772825784013
8,205,53.0,121.25,0.1970509526858608,0.1942814658614324,-0.0027694868244283743,-1.4054673609436938
8,206,53.0,121.5,0.1961023727064083,0.18768669991814796,-0.008415672788260331,-4.291469130187286
8,207,53.0,121.75,0.1892635201957077,0.18508257666616298,-0.004180943529544706,-2.209059371410511
8,208,53.0,122.0,0.1693255520901037,0.1671345180462392,-0.0021910340438645037,-1.2939772035697144
8,209,53.0,122.25,0.18061034663864522,0.17730027950912738,-0.0033100671295178408,-1.832711797038091
8,210,53.0,122.5,0.19300599234045052,0.19053776997959887,-0.0024682223608516463,-1.2788319838784363
8,211,53.0,122.75,0.1785113306557877,0.1756239532069119,-0.002887377448875794,-1.6174757301223328
8,212,53.0,123.0,0.18452437576146913,0.1805099638975387,-0.004014411863930423,-2.1755455599642675
8,213,53.0,123.25,0.19353047154914355,0.18855200690755897,-0.004978464641584579,-2.5724448464025924
8,214,53.0,123.5,0.20365333843184644,0.20393650807179872,0.0002831696399522854,0.13904492906068883
8,215,53.0,123.75,0.17904552887907882,0.18519628597723148,0.006150757098152659,3.4353033759958724
8,216,53.0,124.0,0.20194515638154348,0.20899940444191967,0.007054248060376189,3.493150411118701
8,217,53.0,124.25,0.20539640616825106,0.21219534461931427,0.006798938451063219,3.310154533811
8,218,53.0,124.5,0.20285711861878472,0.20869285553252837,0.005835736913743644,2.8767720617733605
8,219,53.0,124.75,0.20703758898230507,0.21466459071280972,0.007627001730504651,3.683872946934535
8,220,53.0,125.0,0.2181520170756863,0.22532090185854767,0.007168884782861373,3.286187713943612
8,221,53.0,125.25,0.2102257063031088,0.2136822849745173,0.0034565786714085,1.6442226463136322
8,222,53.0,125.5,0.21556390932022204,0.21390388348537306,-0.0016600258348489771,-0.7700852336941962
9,201,52.75,120.25,0.18747040351818042,0.190910602460661,0.0034401989424805712,1.8350624300795026
9,202,52.75,120.5,0.1780871919858857,0.18270905705178866,0.0046218650659029525,2.595282128020334
9,203,52.75,120.75,0.1780836861840838,0.18034869527631375,0.002265009092229958,1.2718790478587887
9,204,52.75,121.0,0.1810096936896468,0.17977671553771163,-0.0012329781519351823,-0.68116691808186
9,205,52.75,121.25,0.18406168347036575,0.17898070174418382,-0.005080981726181932,-2.760477699857602
9,206,52.75,121.5,0.21052513193498548,0.20522412735841386,-0.005301004576571622,-2.517991333314391
9,207,52.75,121.75,0.1825330100309111,0.17962035603960885,-0.0029126539913022498,-1.595686167016588
9,208,52.75,122.0,0.18290159675067558,0.18309133591898163,0.00018973916830605786,0.10373838811516937
9,209,52.75,122.25,0.17721552357156145,0.1785572191413075,0.0013416955697460597,0.7570982173038974
9,210,52.75,122.5,0.1795133249485777,0.1829224843731655,0.0034091594245878043,1.8991121832122333
9,211,52.75,122.75,0.1918460755537493,0.19579960035017482,0.003953524796425523,2.0607796041769264
9,212,52.75,123.0,0.1877054382678155,0.19124113446187582,0.003535696194060328,1.8836407866966787
9,213,52.75,123.25,0.19628620317654763,0.19666824862288723,0.0003820454463396017,0.19463693329274642
9,214,52.75,123.5,0.20729579078010332,0.21016854743525987,0.002872756655156544,1.385824885467128
9,215,52.75,123.75,0.19878111619588135,0.2043224320798011,0.005541315883919762,2.787647031048604
9,216,52.75,124.0,0.20849364021285868,0.21478834844998487,0.00629470823712619,3.0191368094967768
9,217,52.75,124.25,0.2101016456855485,0.21275316606481093,0.0026515203792624176,1.2620179011976191
9,218,52.75,124.5,0.18333697759086512,0.18432752477071873,0.0009905471798536125,0.5402877220241505
9,219,52.75,124.75,0.1989047705061029,0.20089414204004383,0.001989371533940937,1.0001628059895618
9,220,52.75,125.0,0.21508258710576328,0.21965870515784103,0.004576118052077749,2.127609730595029
9,221,52.75,125.25,0.213905628849365,0.21720201285427584,0.003296384004910835,1.5410459381750021
9,222,52.75,125.5,0.19979821301399442,0.2002469777586845,0.00044876474469007777,0.2246089881988309
9,223,52.75,125.75,0.21505909284480096,0.21349136653524514,-0.001567726309555817,-0.7289746686912599
9,224,52.75,126.0,0.2100724083351772,0.20764821833115982,-0.0024241900040173903,-1.153978298829953
10,203,52.5,120.75,0.17883512958524336,0.18237981463224623,0.0035446850470028657,1.9820966133576459
10,204,52.5,121.0,0.19796435001777457,0.19680860716111798,-0.0011557428566565942,-0.5838136293493368
10,205,52.5,121.25,0.16360199181913757,0.15969480937024605,-0.003907182448891516,-2.3882242541465613
10,206,52.5,121.5,0.18755801651362797,0.18609352798851858,-0.0014644885251093864,-0.7808189446293151
10,207,52.5,121.75,0.18830483268650924,0.19052475680518777,0.0022199241186785235,1.1788991748152653
10,208,52.5,122.0,0.20035734419912066,0.20501288245100147,0.004655538251880809,2.323617469821324
10,209,52.5,122.25,0.19341260158642787,0.19952551759679005,0.006112916010362179,3.160557254399257
10,210,52.5,122.5,0.18165950571954267,0.1880156753825004,0.006356169662957739,3.4989469104748046
10,211,52.5,122.75,0.19499234328370696,0.20204919277907796,0.007056849495370998,3.619039279457005
10,212,52.5,123.0,0.2018422388931546,0.20649572377932937,0.004653484886174758,2.3055059791712305
10,213,52.5,123.25,0.20968886686893354,0.21314595269186173,0.0034570858229281964,1.6486739971221531
10,214,52.5,123.5,0.20405339038777467,0.20540357656321287,0.001350186175438195,0.661682794327679
10,215,52.5,123.75,0.20821748957512304,0.21113613583318727,0.0029186462580642336,1.4017296356899989
10,216,52.5,124.0,0.20149558816298085,0.20399913242291717,0.002503544259936319,1.2424809311017335
10,217,52.5,124.25,0.2142590389942102,0.21363867773174244,-0.0006203612624677557,-0.289537965529902
10,218,52.5,124.5,0.20146976042899423,0.19927384444594912,-0.0021959159830451103,-1.0899481780140579
10,219,52.5,124.75,0.18817261669294,0.1913093341018967,0.003136717408956713,1.6669361696102718
10,220,52.5,125.0,0.2024490140033307,0.20705808084236593,0.004609066839035225,2.276655612143113
10,221,52.5,125.25,0.20857139885478065,0.21306426235262266,0.0044928634978420035,2.1541129428633656
10,222,52.5,125.5,0.21562700913250948,0.21715147161582127,0.0015244624833117837,0.7069905061730714
10,223,52.5,125.75,0.2105460386231815,0.21003213906690632,-0.0005138995562751769,-0.2440794230258178
10,224,52.5,126.0,0.18563767578733664,0.18641160719420585,0.0007739314068692105,0.4169042752699689
11,203,52.25,120.75,0.1780220095677379,0.1853697203841334,0.007347710816395514,4.127417072887097
11,204,52.25,121.0,0.173394099620241,0.17705029289885227,0.003656193278611275,2.1086030531712927
11,205,52.25,121.25,0.19023166319298263,0.19225509430060894,0.0020234311076263167,1.0636668331988584
11,206,52.25,121.5,0.18717197222037052,0.19057858171084785,0.0034066094904773303,1.8200425256333215
11,207,52.25,121.75,0.1728593163055277,0.1784937861728284,0.0056344698673007065,3.2595696822853437
11,208,52.25,122.0,0.16211179965162126,0.1681218624763245,0.006010062824703233,3.7073567979745308
11,209,52.25,122.25,0.18717365427977536,0.19684515612523104,0.009671501845455677,5.1671277577341765
11,210,52.25,122.5,0.17360335265322946,0.18236697316282682,0.008763620509597364,5.048071005346647
11,211,52.25,122.75,0.19979791226285326,0.20647110112226952,0.006673188859416257,3.3399692638614953
11,212,52.25,123.0,0.1995321662790472,0.2041386413704211,0.0046064750913738794,2.308637838839323
11,213,52.25,123.25,0.21757753466133695,0.2219012416053709,0.004323706944033945,1.98720283818082
11,214,52.25,123.5,0.19986594612964803,0.2021810601055079,0.0023151139758598727,1.1583333832958798
